el	es
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_1.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_1.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_2.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_2.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_3.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_3.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_4.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_4.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_5.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_5.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_6.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_6.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_7.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_7.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_8.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_8.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_9.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_9.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_1.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_1.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_10.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_10.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_11.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_11.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_12.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_12.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_13.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_13.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_14.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_14.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_16.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_16.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_17.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_17.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_18.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_18.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_19.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_19.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_2.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_2.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_20.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_20.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_3.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_3.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_4.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_4.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_5.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_5.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_6.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_6.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_7.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_7.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_8.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_8.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_9.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-21-56-13_9.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_0.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_0.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_1.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_1.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_2.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_2.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_3.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_3.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_4.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_4.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_5.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_5.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_6.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-18-31_6.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_0.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_0.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_1.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_1.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_3.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_3.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_4.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_4.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_8.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_8.wav
data\el_es\el\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_9.wav	data\el_es\es\20090421-0900-PLENARY-17-el_es_20090421-22-40-22_9.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_1.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_1.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_10.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_10.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_2.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_2.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_4.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_4.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_5.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_5.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_6.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_6.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_7.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_7.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_8.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_8.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_9.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-43-13_9.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-56-46_0.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-56-46_0.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-56-46_5.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-56-46_5.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-56-46_6.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-56-46_6.wav
data\el_es\el\20090421-0900-PLENARY-18-el_es_20090421-22-56-46_7.wav	data\el_es\es\20090421-0900-PLENARY-18-el_es_20090421-22-56-46_7.wav
data\el_es\el\20090422-0900-PLENARY-11-el_es_20090422-15-38-38_13.wav	data\el_es\es\20090422-0900-PLENARY-11-el_es_20090422-15-38-38_13.wav
data\el_es\el\20090422-0900-PLENARY-11-el_es_20090422-15-38-38_7.wav	data\el_es\es\20090422-0900-PLENARY-11-el_es_20090422-15-38-38_7.wav
data\el_es\el\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_0.wav	data\el_es\es\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_0.wav
data\el_es\el\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_1.wav	data\el_es\es\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_1.wav
data\el_es\el\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_2.wav	data\el_es\es\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_2.wav
data\el_es\el\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_5.wav	data\el_es\es\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_5.wav
data\el_es\el\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_6.wav	data\el_es\es\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_6.wav
data\el_es\el\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_7.wav	data\el_es\es\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_7.wav
data\el_es\el\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_8.wav	data\el_es\es\20090422-0900-PLENARY-18-el_es_20090422-21-34-44_8.wav
data\el_es\el\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_2.wav	data\el_es\es\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_2.wav
data\el_es\el\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_3.wav	data\el_es\es\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_3.wav
data\el_es\el\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_4.wav	data\el_es\es\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_4.wav
data\el_es\el\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_6.wav	data\el_es\es\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_6.wav
data\el_es\el\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_7.wav	data\el_es\es\20090423-0900-PLENARY-16-el_es_20090423-16-12-26_7.wav
data\el_es\el\20090423-0900-PLENARY-22-el_es_20090423-19-30-56_0.wav	data\el_es\es\20090423-0900-PLENARY-22-el_es_20090423-19-30-56_0.wav
data\el_es\el\20090423-0900-PLENARY-22-el_es_20090423-19-30-56_1.wav	data\el_es\es\20090423-0900-PLENARY-22-el_es_20090423-19-30-56_1.wav
data\el_es\el\20090423-0900-PLENARY-22-el_es_20090423-19-30-56_2.wav	data\el_es\es\20090423-0900-PLENARY-22-el_es_20090423-19-30-56_2.wav
data\el_es\el\20090423-0900-PLENARY-22-el_es_20090423-19-30-56_3.wav	data\el_es\es\20090423-0900-PLENARY-22-el_es_20090423-19-30-56_3.wav
data\el_es\el\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_0.wav	data\el_es\es\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_0.wav
data\el_es\el\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_1.wav	data\el_es\es\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_1.wav
data\el_es\el\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_2.wav	data\el_es\es\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_2.wav
data\el_es\el\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_3.wav	data\el_es\es\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_3.wav
data\el_es\el\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_4.wav	data\el_es\es\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_4.wav
data\el_es\el\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_5.wav	data\el_es\es\20090423-0900-PLENARY-3-el_es_20090423-10-16-04_5.wav
data\el_es\el\20090423-0900-PLENARY-8-el_es_20090423-13-22-40_2.wav	data\el_es\es\20090423-0900-PLENARY-8-el_es_20090423-13-22-40_2.wav
data\el_es\el\20090423-0900-PLENARY-8-el_es_20090423-13-57-53_0.wav	data\el_es\es\20090423-0900-PLENARY-8-el_es_20090423-13-57-53_0.wav
data\el_es\el\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_1.wav	data\el_es\es\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_1.wav
data\el_es\el\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_2.wav	data\el_es\es\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_2.wav
data\el_es\el\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_3.wav	data\el_es\es\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_3.wav
data\el_es\el\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_4.wav	data\el_es\es\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_4.wav
data\el_es\el\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_5.wav	data\el_es\es\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_5.wav
data\el_es\el\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_6.wav	data\el_es\es\20090424-0900-PLENARY-3-el_es_20090424-09-15-47_6.wav
data\el_es\el\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_1.wav	data\el_es\es\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_1.wav
data\el_es\el\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_2.wav	data\el_es\es\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_2.wav
data\el_es\el\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_3.wav	data\el_es\es\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_3.wav
data\el_es\el\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_4.wav	data\el_es\es\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_4.wav
data\el_es\el\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_5.wav	data\el_es\es\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_5.wav
data\el_es\el\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_6.wav	data\el_es\es\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_6.wav
data\el_es\el\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_7.wav	data\el_es\es\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_7.wav
data\el_es\el\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_8.wav	data\el_es\es\20090424-0900-PLENARY-4-el_es_20090424-09-40-44_8.wav
data\el_es\el\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_2.wav	data\el_es\es\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_2.wav
data\el_es\el\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_3.wav	data\el_es\es\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_3.wav
data\el_es\el\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_4.wav	data\el_es\es\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_4.wav
data\el_es\el\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_5.wav	data\el_es\es\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_5.wav
data\el_es\el\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_6.wav	data\el_es\es\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_6.wav
data\el_es\el\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_7.wav	data\el_es\es\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_7.wav
data\el_es\el\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_8.wav	data\el_es\es\20090424-0900-PLENARY-8-el_es_20090424-11-27-53_8.wav
data\el_es\el\20090424-0900-PLENARY-9-el_es_20090424-12-04-08_1.wav	data\el_es\es\20090424-0900-PLENARY-9-el_es_20090424-12-04-08_1.wav
data\el_es\el\20090504-0900-PLENARY-10-el_es_20090504-19-11-16_0.wav	data\el_es\es\20090504-0900-PLENARY-10-el_es_20090504-19-11-16_0.wav
data\el_es\el\20090504-0900-PLENARY-10-el_es_20090504-19-11-16_1.wav	data\el_es\es\20090504-0900-PLENARY-10-el_es_20090504-19-11-16_1.wav
data\el_es\el\20090504-0900-PLENARY-10-el_es_20090504-19-11-16_2.wav	data\el_es\es\20090504-0900-PLENARY-10-el_es_20090504-19-11-16_2.wav
data\el_es\el\20090504-0900-PLENARY-10-el_es_20090504-19-11-16_3.wav	data\el_es\es\20090504-0900-PLENARY-10-el_es_20090504-19-11-16_3.wav
data\el_es\el\20090504-0900-PLENARY-17-el_es_20090504-23-09-56_0.wav	data\el_es\es\20090504-0900-PLENARY-17-el_es_20090504-23-09-56_0.wav
data\el_es\el\20090504-0900-PLENARY-17-el_es_20090504-23-09-56_3.wav	data\el_es\es\20090504-0900-PLENARY-17-el_es_20090504-23-09-56_3.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_0.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_0.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_1.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_1.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_10.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_10.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_11.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_11.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_12.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_12.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_13.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_13.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_14.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_14.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_2.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_2.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_3.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_3.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_5.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_5.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_7.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_7.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_8.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_8.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_9.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-34-39_9.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_0.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_0.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_1.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_1.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_2.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_2.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_3.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_3.wav
data\el_es\el\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_4.wav	data\el_es\es\20090504-0900-PLENARY-19-el_es_20090504-23-42-26_4.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_0.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_0.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_10.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_10.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_11.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_11.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_12.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_12.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_3.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_3.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_4.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_4.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_5.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_5.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_6.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_6.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_7.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_7.wav
data\el_es\el\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_8.wav	data\el_es\es\20090504-0900-PLENARY-9-el_es_20090504-18-20-59_8.wav
data\el_es\el\20090505-0900-PLENARY-10-el_es_20090505-16-20-25_1.wav	data\el_es\es\20090505-0900-PLENARY-10-el_es_20090505-16-20-25_1.wav
data\el_es\el\20090505-0900-PLENARY-10-el_es_20090505-16-20-25_2.wav	data\el_es\es\20090505-0900-PLENARY-10-el_es_20090505-16-20-25_2.wav
data\el_es\el\20090505-0900-PLENARY-10-el_es_20090505-16-20-25_3.wav	data\el_es\es\20090505-0900-PLENARY-10-el_es_20090505-16-20-25_3.wav
data\el_es\el\20090505-0900-PLENARY-10-el_es_20090505-16-20-25_6.wav	data\el_es\es\20090505-0900-PLENARY-10-el_es_20090505-16-20-25_6.wav
